ansible-security---ansible_collections.ibm.qradar, 3.8
awsteiner---o2sclpy, 3.7
bastikr---boolean, 3.7
bazaar-projects---docopt-ng, 3.7
burgerbecky---makeprojects, 3.7
champax---pysolbase, 3.7
cloudmesh---cloudmesh-common, 3.8
commandline---flashbake, 3.7
cpburnz---python-sql-parameters, 3.7
eykd---prestoplot, 3.7
gopad---gopad-python, 3.7
ikus060---rdiffweb, 3.7
infobloxopen---infoblox-client, 3.9
jaywink---federation, 3.10
kirankotari---shconfparser, 3.8
mozilla---relman-auto-nag, 3.10
MozillaSecurity---lithium, 3.11
mwatts15---rdflib, 3.10
neo4j---neo4j-python-driver, 3.7
openstack---cinder, 3.11
openstack---neutron-lib, 3.9
ossobv---planb, 3.9
pexip---os-python-cachetools, 3.9
pexip---os-python-dateutil, 3.7
pexip---os-zope, 3.8
pre-commit---pre-commit, 3.8
rak-n-rok---Krake, 3.10
redhat-openstack---infrared, 3.8
rougier---matplotlib, 3.10
santoshphilip---eppy, 3.8
scieloorg---packtools, 3.9
scrolltech---apphelpers, 3.7
SEED-platform---py-seed, 3.11
sipwise---repoapi, 3.7
skorokithakis---shortuuid, 3.9
SoftwareHeritage---swh-lister, 3.9
Standalone, None
sunpy---radiospectra, 3.11
turicas---rows, 3.6
ufo-kit---concert, 3.9
witten---atticmatic, 3.10
witten---borgmatic, 3.11
ynikitenko---lena, 3.10
zimeon---ocfl-py, 3.9
